response,labels
"MINIMUM
CPU: Intel Core i3 
GPU: GeForce GTX 470 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 
GPU: GeForce GTX 660 TI 
RAM: 8 GB 
VRAM: 2 GB",44
"MINIMUM
CPU: Core 2 Duo E8200 2.66GHz or Phenom II X2 545 
GPU: Geforce GTS 250 or Radeon HD 4830 
RAM: 3 GB 
VRAM: 512 MB



RECOMMENDED
CPU: Core 2 Quad Q9550 2.83GHz or Phenom II X4 955 
GPU: GeForce GTX 560 or Radeon HD 6950 
RAM: 4 GB 
VRAM: 1 GB",45
"MINIMUM
CPU: 2 GHz processor (supporting SSE2 instruction set or higher) 
GPU: Shader version 2.0 capable video card 
RAM: 2 GB 
VRAM: 128 MB



RECOMMENDED
CPU: 3 GHz Dual-Core processor 
GPU: Nvidia GeForce 8800 or AMD Radeon HD 5670 or equivalent video card 
RAM: 4 GB 
VRAM: 512 MB or higher",46
"MINIMUM
CPU: Pentium 4 3.0GHz 
GPU: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better 
RAM: 2 GB 
VRAM: 128 MB



RECOMMENDED
CPU: Intel Core 2 Duo 2.4GHz 
GPU: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or better 
RAM: 2 GB 
VRAM: 256 MB",47
"MINIMUM
CPU: Intelï¿½ Coreï¿½ i5-2400S AMD A8-7650K 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 760, NVIDIAï¿½ GeForceï¿½ GTX 1050, AMD Radeonï¿½ R9 280 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ i5-6500 AMD Ryzenï¿½ 5 1400 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 1070 Radeonï¿½ RX Vega 56 
RAM: 16 GB 
VRAM: 8192 MB",48
"MINIMUM
CPU: Intel Core 2 Duo or equivalent AMD dual core 
GPU: NVIDIA GeForce 7600GS or ATI Radeon 1950 
RAM: 2 GB 
VRAM: 256 MB



RECOMMENDED
CPU: Intel i5, 4 x 2.6 GHz or AMD equivalent 
GPU: NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better 
RAM: 4 GB 
VRAM: 1 GB",49
"MINIMUM
CPU: Dual Core 2.0GHz or equivalent 
GPU: ATI or NVidia card 
RAM: 2 GB 
VRAM: 512 MB



RECOMMENDED
CPU: Dual Core 3.0GHz or equivalent 
GPU: NVIDIA GeForce GTX 260 or ATI HD 4890 
RAM: 2 GB 
VRAM: 1024 MB",50
"MINIMUM
CPU: Core i5-6400 / Ryzen 3 2200G 
GPU: AMD Radeon R9 380 or NVIDIA GeForce GTX 970 or better 
RAM: 8 GB 
VRAM: 4096 MB



RECOMMENDED
CPU: Ryzen 7 2700 / Core i7-8700 
GPU: AMD Radeon RX Vega 64 / GeForce GTX 1080 
RAM: 16 GB 
VRAM: 8192 MB",51
"MINIMUM
CPU: Intel Core i5-4460 (3.40 GHz) or better; Quad-core or better 
GPU: NVIDIA GeForce GTX 650 or better (DirectX 11 card Required) 
RAM: 4 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-4790 (3.60GHz) or better; Quad-core or better 
GPU: NVIDIA GeForce GTX 760 (DirectX 11 graphic card required) 
RAM: 8 GB 
VRAM: 2 GB",52
"MINIMUM
CPU: Intel Core i5-4440 or equivalent 
GPU: GeForce GTX 670 / GeForce GTX 1050 / AMD Radeon HD 7870 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-4770k or equivalent 
GPU: GeForce GTX 1070 / GeForce RTX 2060 / AMD RX VEGA 56 
RAM: 8 GB 
VRAM: 8192 MB",53
"MINIMUM
CPU: Core i5 or better 
GPU: NVIDIA GeForce RTX 2060 
RAM: 8 GB 
VRAM: 6144 MB



RECOMMENDED
CPU: Intel Core i5 10400 or AMD Ryzen 5 3600 
GPU: NVIDIA 2060 Super/ NVIDIA 2070 Super or better 
RAM: 16 GB 
VRAM: 8192 MB",54
"MINIMUM
CPU: Intel Core i5-750, 2.66 GHz / AMD Phenom II X4 965, 3.4 GHz or AMD Ryzenï¿½ 3 1200, 3.1 GHz 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 670 or NVIDIAï¿½ GeForceï¿½ GTX 1050 / AMDï¿½ Radeonï¿½ HD 7950 or AMDï¿½ Radeonï¿½ R9 270 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i3-2100, 3.10 GHz / AMD FX-6300, 3.5 GHz or AMD Ryzenï¿½ 5 1400, 3.2 GHz 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 780 or NVIDIAï¿½ GeForceï¿½ GTX 1060-6GB / AMDï¿½ Radeonï¿½ R9 290 or RX 570 
RAM: 8 GB 
VRAM: 3072 MB",55
"MINIMUM
CPU: Intel Core2 Duo, 3.0GHz - AMD Athlon 64 X2 Dual Core 6400+ 3.2GHz 
GPU: 1024 MB video card 
RAM: 2 GB 
VRAM: 1024 MB



RECOMMENDED
CPU: Intel Core i7-860 Quad 2.80GHz / AMD FX-8120 
GPU: AMD Radeon HD 7850 or NVIDIA GeForce GTX 750 Ti 
RAM: 6 GB RAM 
VRAM: 2048 MB",57
"MINIMUM
CPU: Intelï¿½ Coreï¿½ i3-530 @ 2.93 GHz / AMD FX 4100 @ 3.60 GHz or better 
GPU: NVIDIAï¿½ GeForceï¿½ GT 450 / ATIï¿½ Radeonï¿½ HD 7770 or better 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 770 / ATIï¿½ Radeonï¿½ R9 270 or better 
RAM: 8 GB 
VRAM: 2 GB",56
"MINIMUM
CPU: Intel Core i5 3570 | AMD FX 6350 or better 
GPU: AMD Radeon HD 7970 or Radeon R9 280x | NVIDIA GeForce GTX 760 or better 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Core i7-4790 | Ryzen 3 1300X or better 
GPU: AMD Radeon RX 480 | NVIDIA GeForce GTX 1060 or better 
RAM: 16 GB 
VRAM: 3072 MB",58
"MINIMUM
CPU: Intel Core i3 2100 or AMD A8-6500 
GPU: NVIDIA GeForce GTX 770 V

VRAM 2GB or AMD Radeon R9 270X RAM: 4 GB VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i5 4670 or AMD A10-7850K 
GPU: NVIDIA GeForce GTX 980 V

VRAM 4GB or AMD Radeon R9 380X RAM: 8 GB VRAM: 4096 MB",59
"MINIMUM
CPU: AMD Athlon X4 | Intel Core i5 4460 
GPU: Nvidia GTX 950 | AMD R7 370 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: AMD Ryzen 3 | Intel i5 Skylake 
GPU: Nvidia GTX 970 | AMD RX 570 
RAM: 8 GB 
VRAM: 4096 MB",60
"MINIMUM
CPU: Intel Core i3-530 
GPU: NVIDIA Geforce GTX 260 / ATI Radeon HD 4870 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 
GPU: NVIDIA Geforce GTX 660 / ATI Radeon HD 7850 
RAM: 8 GB 
VRAM: 1.5 GB",61
"MINIMUM
CPU: Intel Core i3 or AMD Phenom X3 8650 
GPU: Nvidia GeForce GTX 460, ATI Radeon HD 4850, or Intel HD Graphics 4400 
RAM: 4 GB 
VRAM: 768 MB



RECOMMENDED
CPU: Intel Core i5 or AMD Phenom II X3, 2.8 GHz 
GPU: Nvidia GeForce GTX 660 or ATI Radeon HD 7950 
RAM: 6 GB 
VRAM: 2 GB",62
"MINIMUM
CPU: Intel Core i3-2115C 2.0GHz / AMD Athlon II X3 455 
GPU: AMD Radeon R5 340 (OEM) or NVIDIA GeForce GT 740 
RAM: 4 GB 
VRAM: 1024 MB



RECOMMENDED
CPU: Intel Core i5-750S 2.4GHz / AMD Phenom II X4 965 
GPU: AMD Radeon R7 360X or NVIDIA GeForce GTX 750 Ti 
RAM: 6 GB 
VRAM: 2 GB",63
"MINIMUM
CPU: 2 GHz Intel Dual Core Processor 
GPU: NVIDIA GeForce 8800/ATI Radeon HD 2600 
RAM: 2 GB 
VRAM: 256 MB



RECOMMENDED
CPU: 2.3 GHz Intel Quad Core Processor 
GPU: NVIDIA GeForce GTX460/ATI Radeon HD 5850 
RAM: 3 GB 
VRAM: 512 MB",64
"MINIMUM
CPU: Intel Core i5-4430 / AMD FX-6300 
GPU: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i5-6600K / AMD Ryzen 5 1600 
GPU: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 
RAM: 16 GB 
VRAM: 3 GB (4 GB AMD)",65
"MINIMUM
CPU: Intel Pentium 4 1.7GHz / AMD Athlon XP 1700+ 
GPU: AMD Radeon Xpress 1100 or NVIDIA GeForce 7300 GS 
RAM: 512 MB RAM 
VRAM: 128 MB



RECOMMENDED
CPU: Intel Pentium 4 3.0GHz / AMD Sempron 3600+ 
GPU: AMD Radeon HD 4550 or NVIDIA GeForce 8600 GT 
RAM: 1 GB 
VRAM: 256 MB",66
"MINIMUM
CPU: Pentium 4 or Athlon XP with 2GHz 
GPU: NVIDIA GeForce3 Ti+ / ATI Radeon 9700+ 
RAM: 512 MB 
VRAM: 64 MB



RECOMMENDED
CPU: Pentium 4 or Athlon XP with 2.4GHz 
GPU: NVIDIA GeForce 6200+ / ATI Radeon X300+ 
RAM: 1 GB 
VRAM: 128 MB",67
"MINIMUM
CPU: AMD Phenom II X4-945 / Intel Core 2 Quad 6600 
GPU: AMD R7 240 / Nvidia GT 730 / Intel HD 530 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: AMD FX-8320 / Intel i5-2400 
GPU: AMD R9 290 / Nvidia GTX 770 
RAM: 16 GB 
VRAM: 4 GB",68
"MINIMUM
CPU: Intel Core i5-4460, 2.70GHz or AMD FX-6300 
GPU: NVIDIA GeForce GTX 760 or AMD Radeon R7 260x 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i5 4690, 3.9GHz or AMD equivalent 
GPU: NVIDIA GeForce GTX 970 or AMD Radeon R9 390 
RAM: 16 GB 
VRAM: 4 GB",69
"MINIMUM
CPU: Intel Core i5-3570 or AMD Ryzen 3 1300X 
GPU: Nvidia GTX 780 or AMD R9 280 
RAM: 8 GB 
VRAM: 3072 MB



RECOMMENDED
CPU: Intel Core i7-4770 or AMD Ryzen 5 1600X 
GPU: Nvidia GTX 1070 or AMD Vega 56 
RAM: 8 GB 
VRAM: 8192 MB",70
"MINIMUM
CPU: Intel Core i5-2500K / AMD FX-6300 
GPU: Nvidia GeForce GTX 770 2GB / AMD Radeon R9 280 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-4770K / AMD Ryzen 5 1500 
GPU: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB 
RAM: 12 GB 
VRAM: 3072 MB",71
"MINIMUM
CPU: Intel Core i5-4460 or AMD FX-6300 or better 
GPU: GeForce GTX 760 or AMD Radeon R7 260x 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-3770 4-Core 3.4GHz / AMD FX-9590 
GPU: AMD Radeon RX 480 4GB or NVIDIA GeForce GTX 1060 
RAM: 8 GB 
VRAM: 4GB",72
"MINIMUM
CPU: Intel Core i3-2100 or AMD equivalent 
GPU: NVIDIA GTX 650 2GB or AMD HD7770 
RAM: 6 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-3770K 
GPU: NVIDIA GTX 980Ti 2560x1440 or NVIDIA GTX 970 
RAM: 8 GB 
VRAM: 4096 MB",73
"MINIMUM
CPU: Intel Core i3-2100 | AMD FX-6300 
GPU: NVIDIA GeForce GTX 760 | AMD Radeon HD 7950 
RAM: 4 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i5-2500K | AMD Ryzen 5 1400 
GPU: NVIDIA GeForce GTX 970 | AMD Radeon RX 570 
RAM: 8 GB 
VRAM: 4096 MB",74
"MINIMUM
CPU: Intel Core i5-2400S 2.5GHz / AMD Phenom II X4 905e 
GPU: AMD Radeon HD 7950 or NVIDIA GeForce GTX 780 
RAM: 8 GB 
VRAM: 3 GB



RECOMMENDED
CPU: Intel Core i7-7820X 8-Core 3.6GHz / AMD Ryzen 7 2700X 
GPU: AMD Radeon RX Vega 64 8GB or NVIDIA GeForce GTX 1080 
RAM: 16 GB 
VRAM: 8GB",75
"MINIMUM
CPU: Intel Core i3-3220 / AMD FX-6100 
GPU: NVIDIA GeForce GTX 650 / AMD Radeon HD 7750 
RAM: 8 GB 
VRAM: 1024 MB



RECOMMENDED
CPU: Intel Core i7-6700K / AMD Ryzen 7 1700 
GPU: NVIDIA GeForce GTX 1070 / AMD Radeon RX Vega 56 
RAM: 16 GB 
VRAM: 8192 MB",76
"MINIMUM
CPU: Intel Pentium 4 1.7GHz / AMD Athlon 64 2800+ 
GPU: AMD Radeon X300 Series or NVIDIA GeForce FX 5500 
RAM: 512 MB RAM 
VRAM: 64 MB



RECOMMENDED
CPU: Intel Pentium 4 3.40GHz / AMD Athlon 64 3400+ 
GPU: AMD Radeon X800 GTO or NVIDIA GeForce 6800 
RAM: 1 GB RAM 
VRAM: 128 MB",77
"MINIMUM
CPU: Intel Core i3 560 @ 3.3GHz or better, AMD Phenom II X4 945 @ 3.0Ghz or better 
GPU: NVIDIA GeForce GTX 460, AMD Radeon HD 5770 
RAM: 6 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5-2500K @ 3.3GHz or better, AMD FX-8120 Eight-Core @ 2.6Ghz or better 
GPU: NVIDIA GeForce GTX 670 or AMD Radeon HD 7970 / R9 280x 
RAM: 8 GB 
VRAM: 2 GB",78
"MINIMUM
CPU: AMD A10 7850K, Intel i3-2000 
GPU: Radeon HD 7870, Geforce GTX 750 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: AMD FX 8300, Intel i5 3000 
GPU: Radeon R9 380, Geforce GTX 960 
RAM: 8 GB 
VRAM: 4 GB",79
"MINIMUM
CPU: Intelï¿½ Coreï¿½ 2 Duo 2.4 GHz, or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX260, or better 
RAM: 2 GB 
VRAM: 896 MB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ 2 Quad 2.7 GHz, or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 560, or better 
RAM: 4 GB 
VRAM: 1024 MB",80
"MINIMUM
CPU: - 
GPU: Video Card with 128 MB 
RAM: 2 GB 
VRAM: 128 MB



RECOMMENDED
CPU: 2GHz+ 
GPU: Video card with 512 MB 
RAM: 3 GB 
VRAM: 512 MB",81
"MINIMUM
CPU: Intel Core 2 Duo E8400 3.0GHz / AMD Phenom 8750 Triple-Core 
GPU: AMD Intel HD Graphics 3000 Desktop or NVIDIA GeForce 6800 GT 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i3-4150 3.5GHz / AMD FX-6100 
GPU: AMD Radeon R5 240 v1 or NVIDIA GeForce GT 730 
RAM: 4 GB 
VRAM: 1 GB",82
"MINIMUM
CPU: Intel Core i3-2130 (3.4 GHz)/AMD FX-4100 (3.6 GHz) 
GPU: GeForce GTX 660/Radeon R7 370 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz) 
GPU: GeForce GTX 970/Radeon R9 390 
RAM: 16 GB 
VRAM: 4096 MB",83
"MINIMUM
CPU: Intel Core i5-4460 / AMD Ryzen 5 1400 
GPU: NVIDIA GeForce GTX 970 or AMD Radeon R9 290X 
RAM: 8 GB 
VRAM: 4 GB



RECOMMENDED
CPU: Intel Core i7-7700 / Ryzen 5 2600 
GPU: NVIDIA GeForce RTX 2060S or AMD Radeon RX 5700 
RAM: 16 GB 
VRAM: 8192 MB",84
"MINIMUM
CPU: Intel CPU Core i5-2500K 3.3GHz / AMD CPU Phenom II X4 940 
GPU: Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870 
RAM: 6 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel CPU Core i7 3770 3.4 GHz / AMD CPU AMD FX-8350 4 GHz 
GPU: Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290 
RAM: 8 GB 
VRAM: 2048 MB",85
"MINIMUM
CPU: Intel Core i5-760 or AMD FX-8100 or later 
GPU: NVIDIA GeForce GTX 560 2GB or AMD Radeon HD 7850 2GB or Intel HD Graphics 530 
RAM: 4 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-4770 or AMD FX-8310 or later 
GPU: NVIDIA GeForce GTX 960 or AMD Radeon R9 280 or later 
RAM: 8 GB 
VRAM: 4 GB",86
"MINIMUM
CPU: Intel Core 2 Duo E4700 2.6 GHz or AMD Phenom 9950 Quad Core 2.6 GHz 
GPU: ATI Radeon HD 5770, 1GB NVIDIA GeForce GTX 460 or better 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: 3.0 GHz Quad Core 
GPU: ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or better 
RAM: 8 GB 
VRAM: 2 GB",87
"MINIMUM
CPU: Intel Core i5-3470, 3.2 GHz / AMD Ryzen 3 1200, 3.1 GHz 
GPU: GeForce GTX 660, 2 GB / Radeon HD 7870, 2 GB 
RAM: 4 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-6700, 3.4 GHz / AMD Ryzen 7 1700, 3.7 GHz 
GPU: GeForce GTX 1070, 8 GB / Radeon RX Vega 56, 8GB 
RAM: 16 GB 
VRAM: 8192 MB",88
"MINIMUM
CPU: Intel Core i5-3470 | AMD FX-8350 
GPU: Nvidia GeForce GTX 660, 2 GB | AMD Radeon HD 7870, 2 GB 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-6700 | AMD Ryzen 5 1400 
GPU: Nvidia GeForce GTX 1060, 3 GB | AMD Radeon RX 580, 4 GB 
RAM: 8 GB 
VRAM: 3 GB",89
"MINIMUM
CPU: Pentium II or Athlon equivalent @ 733 MHz 
GPU: 16 MB Direct 3D SVGA Video Card 
RAM: 256 MB 
VRAM: 16 MB



RECOMMENDED
CPU: Pentium 4 or Athlon XP @ 1.5 GHz 
GPU: 64 MB 100% DirectX(R) 9.0b compatible Video Card 
RAM: 512 MB 
VRAM: 64 MB",90
